key,distance
people,-0.24814490742697007
news,-0.23786985775955416
control,-0.22018198542648296
public,-0.20149808631887542
time,-0.21177846043649645
know,-0.20192745296690598
fake,-0.244852256872532
power,-0.18673348130429313
truth,-0.2042719286688334
this,-0.19192336560230044
they,-0.2078746711342776
world,-0.1906152907515051
believe,-0.1988773100840806
coincidence,-0.20984630575285418
media,-0.19517376259742533
good,-0.1930270836607941
narrative,-0.20036059721699653
coming,-0.20342480894773315
stand,-0.20344457225442453
fight,-0.19575016127846248
united,-0.20720427244417547
patriots,-0.2166276594365353
trust,-0.19474266004324678
evil,-0.18580976419784204
party,-0.18954595621262016
when,-0.173792641295189
country,-0.18774926605164294
thinking,-0.18257648588474593
attack,-0.18827133874781282
information,-0.17780177749915144
follow,-0.19330846198691026
future,-0.1949780014747908
divided,-0.2074942498093459
states,-0.18369958822751123
coincidences,-0.203030693815458
yourself,-0.18392172251680486
right,-0.19183832070255316
bless,-0.2209588031686769
happens,-0.18373130277766878
define,-0.17603672458222533
america,-0.20379693668922025
wwg1wga,-0.2891734776167404
light,-0.20472341916079134
together,-0.25371963641592266
government,-0.18639028250498846
great,-0.21297561146505822
game,-0.20399322447356036
push,-0.1970282951807764
long,-0.18011865397620547
history,-0.1939215475806279
nothing,-0.20335868680828736
there,-0.2056619978171495
here,-0.2395474437245926
political,-0.18637177295494928
false,-0.19824064137375896
thank,-0.21921290301068258
justice,-0.19586121562196246
learn,-0.19695160225815325
attacks,-0.22077619508205013
real,-0.2087439178643035
patriot,-0.2535762136449806
show,-0.21729850197066486
conspiracy,-0.2176494790439068
have,-0.2028134114859739
these,-0.21695292136889974
military,-0.19926999685517585
want,-0.21924283521169716
strong,-0.22185608755677472
freedom,-0.20892340144923693
children,-0.19567557130755672
reason,-0.1988343222998684
order,-0.200334381615278
vote,-0.19622080680811188
everything,-0.21718848034588475
faith,-0.20848698886773817
anons,-0.23880977668121897
twitter,-0.19450727279447494
more,-0.22934920083408886
controlled,-0.20906853861278127
stay,-0.2234146748929263
days,-0.22581171064936406
threat,-0.21275780534223623
awakening,-0.21691741138879672
prevent,-0.210316748362753
watch,-0.24404743084865513
ready,-0.25155286110821773
safe,-0.20054939816120687
come,-0.21043385538164094
controls,-0.19736031128917308
stupid,-0.23661289722489745
simply,-0.2184367358412406
necessary,-0.2293490520629837
fear,-0.21640027424201488
person,-0.2101488581014444
free,-0.22093983312213233
remember,-0.21109418928848406
longer,-0.2283758630234969
play,-0.20694098329767285
logical,-0.20728789111776375
thought,-0.2002302169987496
those,-0.2088365249435999
place,-0.19104698308630005
message,-0.23648533065509292
attempt,-0.21593210178726105
understand,-0.23489507157722625
need,-0.23631045452554503
look,-0.19973072478925394
point,-0.2142670137781495
will,-0.21950815142840865
change,-0.24403926101415777
coordinated,-0.24179128697828112
plan,-0.2373743014168682
enjoy,-0.21264691722024642
boom,-0.20957262524700704
like,-0.22349580884362896
